timestamp;song_title;artist;year;album;collaborating_artists;spotify_link;streams;daily_streams;screenshot_path;status;failure_reason
20260208_102228;Shagidi;BINI;2025;FLAMES;;https://open.spotify.com/track/7zKYsYbbC7N8C5QOOtTlZx;13077542;0;D:\dev\SB19\OCR\bini_shagidi_2025_screenshot_20260208_110251.png;OK;
20260208_124628;Nag-Iisang Muli;Cup of Joe;2019;Single;;https://open.spotify.com/track/3TMiRvIG2vYjmQh8VwZDeH;59080419;0;D:\dev\SB19\OCR\cup_of_joe_nag_iisang_muli_2019_screenshot_20260208_124657.png;OK;
20260208_124628;Sinderela;Cup of Joe;2019;Single;;https://open.spotify.com/track/4MsOWApwFYowURf1CsztXP;53869152;0;D:\dev\SB19\OCR\cup_of_joe_sinderela_2019_screenshot_20260208_124736.png;OK;
20260208_124628;Alas Dose;Cup of Joe;2019;Single;;https://open.spotify.com/track/3cOgXHh7vFpw2jyj4Ppxxz;21486606;0;D:\dev\SB19\OCR\cup_of_joe_alas_dose_2019_screenshot_20260208_124814.png;OK;
20260208_124628;Sagada;Cup of Joe;2020;Single;;https://open.spotify.com/track/2wh4fGevm9QWeZtUXEJYCp;58322242;0;D:\dev\SB19\OCR\cup_of_joe_sagada_2020_screenshot_20260208_124852.png;OK;
20260208_124628;Hayaan;Cup of Joe;2020;Single;;https://open.spotify.com/track/0GEelfsg0vii5yYCVYsvQ8;20300628;0;D:\dev\SB19\OCR\cup_of_joe_hayaan_2020_screenshot_20260208_124929.png;OK;
20260208_124628;Bukod-Tangi;Cup of Joe;2021;Single;;https://open.spotify.com/track/66tKd60oZUTAK0PdmXJl09;35698135;0;D:\dev\SB19\OCR\cup_of_joe_bukod_tangi_2021_screenshot_20260208_125007.png;OK;
20260208_124628;Ikaw Pa Rin Ang Pipiliin Ko;Cup of Joe;2021;Single;;https://open.spotify.com/track/3LvrJEPQ61Vvj1t3Edg20X;140105241;0;D:\dev\SB19\OCR\cup_of_joe_ikaw_pa_rin_ang_pipiliin_ko_2021_screenshot_20260208_125045.png;OK;
20260208_124628;Tingin;Cup of Joe;2023;Patutunguhan;Janine;https://open.spotify.com/track/3Avsya1f8cxvSzyRlrFIhP;353033115;0;D:\dev\SB19\OCR\cup_of_joe_tingin_2023_screenshot_20260208_125124.png;OK;
20260208_124628;Patutunguhan;Cup of Joe;2023;Patutunguhan;;https://open.spotify.com/track/1EP2WyCX9Q7y24bKPSZ0tc;107746978;0;D:\dev\SB19\OCR\cup_of_joe_patutunguhan_2023_screenshot_20260208_125201.png;OK;
20260208_124628;Wag Na Lang;Cup of Joe;2023;Patutunguhan;;https://open.spotify.com/track/7I5o8fJ2W4WWckv6LGQLIo;35493519;0;D:\dev\SB19\OCR\cup_of_joe_wag_na_lang_2023_screenshot_20260208_125240.png;OK;
20260208_124628;Tataya;Cup of Joe;2023;Patutunguhan;;https://open.spotify.com/track/1iySC9sEJX8yfNf6rQrCBf;42105806;0;D:\dev\SB19\OCR\cup_of_joe_tataya_2023_screenshot_20260208_125318.png;OK;
20260208_124628;Estranghero;Cup of Joe;2023;Patutunguhan;;https://open.spotify.com/track/27x4kbvoIKA4fD9TUnWuoE;202914674;0;D:\dev\SB19\OCR\cup_of_joe_estranghero_2023_screenshot_20260208_125355.png;OK;
20260208_124628;Mananatili;Cup of Joe;2023;Patutunguhan;;https://open.spotify.com/track/5yPLY8rf05g2T3KcBCNFLl;68308324;0;D:\dev\SB19\OCR\cup_of_joe_mananatili_2023_screenshot_20260208_125433.png;OK;
20260208_124628;Lahat Ng Bukas;Cup of Joe;2024;Single;Keanna Mag;https://open.spotify.com/track/3s39TR3Iarc2013cuvDGQ7;12965242;0;D:\dev\SB19\OCR\cup_of_joe_lahat_ng_bukas_2024_screenshot_20260208_125511.png;OK;
20260208_124628;Ikaw;Cup of Joe;2024;Ikaw Pa Rin Ang Pipiliin Ko (OST);;https://open.spotify.com/track/1MFgKlV9XOrqKcVLlDEGIQ;1369090;0;D:\dev\SB19\OCR\cup_of_joe_ikaw_2024_screenshot_20260208_125550.png;OK;
20260208_124628;Ikaw;Cup of Joe;2024;Ikaw Pa Rin Ang Pipiliin Ko (OST);Julia Barretto;https://open.spotify.com/track/28bvkaJWrZVDACONPAIQWg;481425;0;D:\dev\SB19\OCR\cup_of_joe_ikaw_2024_screenshot_20260208_125627.png;OK;
20260208_124628;Ikaw Pa Rin Ang Pipiliin Ko;Cup of Joe;2024;Ikaw Pa Rin Ang Pipiliin Ko (OST);;https://open.spotify.com/track/34gun9nJelVyrsE2ctZhse;140105241;0;D:\dev\SB19\OCR\cup_of_joe_ikaw_pa_rin_ang_pipiliin_ko_2024_screenshot_20260208_125705.png;OK;
20260208_124628;Misteryoso;Cup of Joe;2024;Single;;https://open.spotify.com/track/0kE1SmlJNLg14dgdo9kJws;192312641;0;D:\dev\SB19\OCR\cup_of_joe_misteryoso_2024_screenshot_20260208_125744.png;OK;
20260208_124628;Multo;Cup of Joe;2025;Silakbo;;https://open.spotify.com/track/5tlb0AxuzsMWL2GtEppXGX;501072704;0;D:\dev\SB19\OCR\cup_of_joe_multo_2025_screenshot_20260208_125822.png;OK;
